category,subcategory,question,required,answer-1,score-1,answer-2,score-2,answer-3,score-3,answer-4,score-4,answer-5,score-5,answer-6,score-6
6,3,"In your organisation, do you have a defined and documented data architecture?",1,No,1,"Apparently, there is something, but I have never seen it or heard of it being used.",2,I have seen some data architecture type artifacts but don’t know what they are for or how to use them.,3,"Yes, our data architecture has been well defined, and documented but it is not frequently used and is probably out of date.",4,"Yes, our data architecture is well defined, and documented but its understanding and use is limited to data owners and data professionals.",5,"Yes, our data architecture is well defined, communicated across the business and well understood so it can be used effectively.",6
6,3,"In your organization, is the architecture of the structured and semi-structured data systems based on established standards?",1,No,1,The data architects are trained in industry standards but there is no evidence that they are applied to the architecture.,2,Some standards are applied but inconsistently and against no framework or reference architecture.,3,Several standards are applied fairly consistently but with no framework or reference architecture.,4,Several standards are applied fairly consistently against a defined framework or reference architecture.,5,The architecture is completely aligned to a set of well documented frameworks and reference architectures.,6
6,3,"In your organization, is the architecture of the unstructured data systems based on established standards?",1,No,1,The data architects are trained in industry standards but there is no evidence that they are applied to the architecture,2,Some standards are applied but inconsistently and against no framework or reference architecture,3,Several standards are applied fairly consistently but with no framework or reference architecture,4,Several standards are applied fairly consistently against a defined framework or reference architecture,5,The architecture is completely aligned to a set of well documented frameworks and reference architectures,6
6,3,"In your organization, is there a process established to strengthen compliance with architectural standards in data governance?",1,There is no process and procedures to strengthen compliance with architectural standards in data governance,1,The development of the process and procedures to strengthen compliance with architectural standards in data governance has just started,2,The development of the process and procedures to strengthen compliance with architectural standards in data governance is partly complete,3,The development of the process and procedures to strengthen compliance with architectural standards in data governance is complete,4,The development of the process and procedures to strengthen compliance with architectural standards in data governance has been completed and deployed,5,"The development of the process and procedures to strengthen compliance with architectural standards in data governance has been completed, deployed and is actively being used and monitored",6
6,3,Have your organizational needs to optimize the architecture of the structured and semi-structured data systems been identified and defined?,1,No organizational needs to optimize the architecture of the structured and semi-structured data systems have been identified and defined,1,The identification and definition of the organizational needs to optimize the architecture of the structured and semi-structured data systems has just started,2,The identification and definition of the organizational needs to optimize the architecture of the structured and semi-structured data systems is partly complete,3,The identification and definition of the organizational needs to optimize the architecture of the structured and semi-structured data systems is complete,4,The identification and definition of the organizational needs to optimize the architecture of the structured and semi-structured data systems has been completed and deployed.,5,"The identification and definition of the organizational needs to optimize the architecture of the structured and semi-structured data systems has been completed, deployed and is actively being used and monitored",6
6,3,Have your organizational needs to optimize the architecture of the unstructured data systems been identified and defined?,1,No organizational needs to optimize the architecture of the unstructured data systems have been identified and defined,1,The identification and definition of the organizational needs to optimize the architecture of the unstructured data systems has just started,2,The identification and definition of the organizational needs to optimize the architecture of the unstructured data systems is partly complete,3,The identification and definition of the organizational needs to optimize the architecture of the unstructured data systems is complete,4,The identification and definition of the organizational needs to optimize the architecture of the unstructured data systems has been completed and deployed.,5,"The identification and definition of the organizational needs to optimize the architecture of the unstructured data systems has been completed, deployed and is actively being used and monitored.",6
6,3,How sophisticated and effective is your organization's data architecture in supporting business objectives and data-driven decision making?,1,"Non-existent: There is no recognizable data architecture. Data management practices are absent or chaotic, leading to significant issues in data accessibility and reliability",1,Data architecture is rudimentary and primarily reactive. It consists mainly of isolated systems with minimal integration or consistency across the organization,2,"The organization recognizes the need for a coherent data architecture and has started to implement basic frameworks. These efforts, however, are not comprehensive and are inconsistently applied across different departments",3,"A formally defined data architecture exists, with standards and guidelines that are followed across the organization. Integration and data management practices are in place but may not fully support all business objectives",4,"The data architecture is robust and fully aligned with business needs. It includes advanced data integration, quality management, and supports real-time data operations. Regular reviews and optimizations are conducted to ensure continual alignment with business goals",5,"The organization's data architecture is industry-leading, incorporating the latest technologies such as cloud services, big data platforms, and AI-driven analytics. It is highly adaptive, supports all strategic business initiatives, and enables predictive insights and operational excellence through seamless data integration and governance.",6
6,3,"In your organization, do specific data domains (e.g., customers, providers, and products) have their own system of record (i.e., a single system for backing up and retrieving information to ensure data integrity and traceability of changes)?",1,"We don’t even have data domains, let alone a system of record",1,No,2,"A few data domains have a system of record, but it is more accidental than deliberate",3,"Most data domains are linked to a system of record, but work needs to be done to operationalise this correctly",4,All data domains have a system of record identified but some may not be fully managed,5,All data domains have a well-documented system of record that is actively managed,6
6,3,How confident are you that your answers for this section are correct and offer a fair and balanced view?,1,0% confident,1,20-30% confident,2,40-50% confident,3,60-70% confident,4,80-90% confident,5,100% confident,6
12,17,"In your organization, is there a data governance security and privacy policy for the data in structured and semi-structured formats?",1,There is no data governance security and privacy policy for the data in structured and semi-structured formats,1,The development of the data governance security and privacy policy for the data in structured and semi-structured formats has just started,2,The development of the data governance security and privacy policy for the data in structured and semi-structured formats is partly complete,3,The development of the data governance security and privacy policy for the data in structured and semi-structured formats is complete,4,The data governance security and privacy policy for the data in structured and semi-structured formats has been completed and deployed.,5,"The data governance security and privacy policy for the data in structured and semi-structured formats has been completed, deployed and is being actively used and monitored.",6
12,17,"In your organization, is there any governance, security and privacy policy for  unstructured data (e.g. not in a relational database)?",1,There is no data governance security and privacy policy for the unstructured data.,1,The development of the data governance security and privacy policy for the unstructured data is planned,2,The development of the data governance security and privacy policy for the unstructured data has started and progressing,3,The development of the data governance security and privacy policy for the unstructured data is complete,4,The data governance security and privacy policy for the unstructured data is completed and implemented.,5,"The data governance security and privacy policy for the unstructured data has been completed, deployed and is being actively used and monitored.",6
12,17,"In your organization, is there an IT Security Director/Specialist and are they involved in a Data Governance Board?",1,We do not have a IT Security Director / Specialist,1,"We have an IT Security Director / Specialist, but they are not involved in data governance in any way",2,We have an IT Security Director / Specialist.  They are not part of the data governance board but provide input when asked,3,"We have an IT Security Director / Specialist, and they are on the Data Governance Board but are not always active",4,"We have an IT Security Director / Specialist, and they are an active member and contributor to the Data Governance Board",5,"We have an IT Security Director / Specialist, and they are an active member and contributor to the Data Governance Board and often take their turn as board chair",6
12,17,Is your organization subject to confidentiality regulations?,1,Not subject to any,1,We are subject to a small number of very simple regulations,2,We are subject to a few simple regulations,3,Yes we are subject to several regulations but they tend to be more generic,4,Yes we are subject to many complex regulations but they tend to be consistent across all the regions we operate,5,Yes we are subject to many different and complex regulations in each region we operate in,6
12,17,Does your organization fail confidentiality audits?,1,We have never had a confidentiality audit,1,"Yes, we always fail",2,"It is a surprise when we do not fail, but it has happened",3,"We pass most of the time, sometimes with minor remediations",4,We are audited infrequently but always pass,5,We are audited regular and always pass,6
12,17,"In your organization, is sensitive data encrypted?",1,I have no idea,1,Never,2,Rarely,3,Often,4,Generally,5,Always,6
12,17,"In your organization, is unencrypted sensitive data used to develop or test systems?",1,I have no idea,1,Never,2,Rarely,3,Often,4,Generally,5,Always,6
12,17,"In your organization, do administrators, subcontractors or third parties have access to unencrypted sensitive data?",1,I have no idea,1,"They do have access, but we do know who is accessing what",2,"We try not, but mostly they do though some secure mechanisms such as a VPN",3,Not often but there are some cases,4,Only with very strict approvals,5,Never,6
12,17,"In your organization, are systems used to monitor access to sensitive data by users with privileges (such as database administrators)?",1,No,1,"No, but we do know what sensitive data should be monitored",2,We have started implementing full monitoring on all sensitive data,3,Most sensitive data is monitored and audited,4,"Yes, full monitoring",5,"Yes, full monitoring and automatically reviewed for anomaly detection",6
12,17,How confident are you that your answers for this section are correct and offer a fair and balanced view?,1,0% confident,1,20-30% confident,2,40-50% confident,3,60-70% confident,4,80-90% confident,5,100% confident,6
1,1,"In your organization, is there a data governance framework that you are aware of?",1,Non-existent.  There is no data governance framework in place. Data governance is not formally recognized or defined within the organization.,1,Recognized need.  The organization recognizes the need for a data governance framework but has not yet developed or implemented one.,2,Developing.  A basic data governance framework is being developed. It is in the early stages of formulation and lacks comprehensive details or wide acceptance.,3,Formalized.  The data governance framework is formalized and documented. It outlines key governance principles and roles but may not be fully integrated across the organization.,4,Implemented & active.  The data governance framework is fully implemented and actively guides data governance practices. It is well-understood across the organization and impacts daily operations.,5,"Optimized and evolving: The data governance framework is not only implemented but also continuously optimized. It evolves based on organizational needs and external changes, ensuring it remains effective and relevant.",6
1,1,"In your organization, are stakeholders from different business and IT domains involved in a data governance board?",1,No,1,Few,2,Some,3,Several,4,Nearly all,5,All,6
1,1,"In your organization, are stakeholders engaged on the benefits of data governance?",1,Non-existent: Stakeholder engagement is non-existent. There is no awareness or understanding of the benefits of data governance among stakeholders.,1,Aware.  Stakeholders are generally aware of data governance but lack detailed understanding or active engagement. Engagement is passive and often reactive.,2,"Developing.  Some stakeholders show interest and begin to engage. There is a growing understanding of the benefits, but active engagement is inconsistent across the organization.",3,"Defined.  Most stakeholders recognize and support the benefits of data governance. There is structured engagement, and stakeholders start to contribute to governance initiatives actively.",4,Managed & Optimized: Stakeholder engagement is strong and active across all levels. Stakeholders are well-informed and play an integral role in shaping and driving data governance efforts.,5,"Transformative: Stakeholder engagement is highly proactive and deeply embedded in the organizational culture. Stakeholders are champions of data governance, continuously advocating for and innovating governance practices.",6
1,1,Are the activities of the organization impacted by a data governance board?,1,Non-existent: The data governance board has no impact on organizational activities. It either does not exist or has no influence.,1,Minimal: The impact of the data governance board is minimal and largely symbolic. It has little influence on actual practices or decisions.,2,Moderate: The data governance board has a moderate impact on some organizational activities. Its influence is noticeable in specific areas but not organization-wide.,3,Significant: The data governance board significantly impacts a wide range of organizational activities. It plays a key role in shaping policies and processes related to data.,4,Strong: The data governance board has a strong and broad impact across the organization. It is a critical element in strategic decision-making and operational practices related to data.,5,"Transformative: The data governance board has a transformative impact on the organization. It drives innovation and is central to all major organizational activities, fundamentally shaping how the organization operates and leverages data.",6
1,1,"In your organization, is a data governance steward involved in organizational activities?",1,"Uninvolved. The data governance steward has no involvement in organizational activities. Their role is non-existent, undefined or not recognized within the organization.",1,"Slightly involved: The data governance steward is minimally involved, participating only in specific, limited activities that have little impact on broader organizational functions.",2,"Moderately involved: The data governance steward has a moderate level of involvement, contributing to certain areas or projects but not fully integrated into major organizational activities.",3,"Highly involved: The data governance steward is highly involved in a variety of organizational activities, playing a significant role in data-related projects and processes.",4,"Integral involvement: The data governance steward is an integral part of most organizational activities, crucial for guiding data governance practices and decision-making across the organization.",5,"Pervasive involvement: The data governance steward is pervasively involved in all organizational activities, providing leadership and strategic direction in all aspects of data governance and its integration into the organization’s core operations.",6
1,1,Does your data governance framework provide any key organizational benefits?,1,No.  The DGF provides no recognizable benefits. Data governance is either not implemented or not functioning in any meaningful way.,1,Minimal.  The DGF provides minimal benefits that are sporadic and largely unrecognized across the organization. Awareness of potential benefits is very low.,2,"Moderate. The DGF provides moderate benefits that are recognized by some parts of the organization. There is an uneven distribution of benefits, and the overall impact is limited.",3,Considerable.  The DGF provides considerable benefits that are well understood and appreciated across most of the organization. There is a clear correlation between the implementation of DGF and specific improvements in data management and utilization.,4,"Significant.  The DGF provides significant, widespread benefits across the entire organization.",5,Transformative.  The DGF provides transformative benefits that are industry-leading. It not only enhances internal operations but also provides competitive advantages.,6
1,1,"In your organization, are business cases used to justify specific data governance initiatives?",1,Not,1,Rarely,2,Sometimes,3,Often,4,Nearly always,5,Always,6
1,1,"In your organization, are metrics used to monitor the performance of the data governance framework?",1,No,1,Few,2,Some,3,Several,4,Most,5,All of required,6
1,1,"In your organization, how do you rate the quality of the metrics used to monitor the performance of the data governance framework?",1,Non-Existent: There are no metrics in place to monitor the performance of the DGF. Measurement of data governance effectiveness is not considered.,1,"Basic.  Basic metrics are used sporadically, with minimal relevance to the goals of data governance. There is limited understanding of how to measure DGF performance effectively.",2,"Developing. Metrics are identified and occasionally applied, but they may not be fully relevant or consistently tracked. There is an ongoing effort to align metrics with DGF objectives.",3,Defined.  Relevant metrics are well-defined and regularly monitored. These metrics are aligned with some but not all key objectives of the DGF.,4,"Managed.  Comprehensive and relevant metrics are in place and actively managed. There is a strong alignment between the metrics and the DGF objectives, and results are used to drive improvements in data governance.",5,Leading & Transformative: Metrics are advanced and fully integrated into the management of the DGF. They not only measure performance but also provide predictive insights that guide strategic decisions in data governance.,6
1,1,"In your organization, is the data governance board involved in defining the data policies of the organization?",1,Uninvolved: The Data Governance Board is not involved in defining data policies. Their role in policy development is non-existent.,1,"Minimally involved: The Data Governance Board has minimal involvement, providing occasional input or feedback on data policies but not actively participating in their formulation.",2,Somewhat involved: The Data Governance Board is somewhat involved in defining data policies. They contribute periodically and have some influence on the outcomes.,3,Actively involved: The Data Governance Board is actively involved in the definition of data policies. They regularly participate in discussions and have significant influence on the shaping of policies.,4,"Highly involved: The Data Governance Board is highly involved and plays a central role in defining data policies. Their input is crucial, and they are key drivers in policy formulation and implementation.",5,"Fully responsible: The Data Governance Board is fully responsible for defining data policies. They lead the entire process, from conceptualization to implementation, ensuring that policies are comprehensive and aligned with organizational objectives.",6
1,1,"In your organization, are data governance policies documented?",1,Not documented: Data governance policies are not documented at all. There is no formal record or reference material available.,1,"Informally documented; Data governance policies are only informally documented, perhaps in fragmented notes or casual communications. Documentation is not systematic or organized.",2,"Partially documented: Some key data governance policies are documented, but the documentation is incomplete and does not cover all areas or is not updated regularly.",3,"Mostly documented: Most data governance policies are well-documented, and the documentation is accessible to those who need it, although some areas may still lack detail or clarity.",4,"Fully documented: All data governance policies are fully documented, clear, and comprehensive. Documentation is systematically organized and regularly updated.",5,Fully documented and integrated: Data governance policies are not only fully documented but also integrated with other organizational policies.,6
1,1,"In your organization, are data governance policies reviewed by the governance committee?",1,Not reviewed: Data governance policies are not reviewed by the governance committee. There is no formal process for policy review.,1,Rarely reviewed: Data governance policies are reviewed only on rare occasions or in response to significant issues. The review process is not regular or systematic.,2,"Occasionally reviewed: The governance committee reviews data governance policies occasionally, perhaps annually or as needed, but without a consistent schedule or comprehensive approach.",3,"Regularly reviewed: Data governance policies are regularly reviewed by the governance committee, with scheduled reviews that ensure policies remain current and effective.",4,"Thoroughly reviewed: The governance committee conducts thorough reviews of all data governance policies at regular intervals, including seeking input from various stakeholders to ensure comprehensive coverage and effectiveness.",5,"Continuously reviewed and updated: Data governance policies are continuously reviewed and updated by the governance committee. The review process is proactive, integrated with ongoing business processes, and includes mechanisms for rapid adaptation to new challenges and changes in the business environment.",6
1,1,How confident are you that your answers for this section are correct and offer a fair and balanced view?,1,Very low confidence: Individuals feel highly uncertain and lack confidence in their ability to answer any questions regarding data policies and rules. Knowledge is minimal or absent.,1,"Low confidence: Some basic understanding exists, but individuals still feel unsure about their ability to discuss or accurately answer questions related to data policies and rules.",2,Moderate confidence: Individuals have a fair level of confidence. They can answer standard questions correctly but might struggle with more complex issues related to data policies and rules.,3,High confidence: Respondents are confident in their ability to answer most questions related to data policies and rules accurately and can discuss the topic with some depth.,4,"Very high confidence: Individuals have strong knowledge and understanding, allowing them to confidently answer almost all questions related to data policies and rules with detailed and accurate responses.",5,"Expert confidence: At this level, individuals possess expert-level knowledge and can answer all questions with ease, including providing insights into complex scenarios and potential changes in the data policies and rules dimension.",6
16,25,Does your company use a document and content managed system such as SharePoint or Livelink?,1,"No, we have no content management at all, I save everything on my local machine and email documents around",1,"We have no plans to implement a content management system, but we have a company shared drive which we all use to share documents.",2,"We have plans and budget to implement a content management, but we still use a company shared drive which we all use to share documents.",3,We have implemented a content management system but the company is still learning how to use it effectively,4,"We have a fully functional content management system with understood backup, versioning and sharing conventions, we mostly collaborate on central on shared documents, but some people still work locally, we don’t often email documents around the organization, but it does happen occasionally.",5,"We have a fully functional and optimised content management system with understood backup, versioning and sharing conventions, we collaborate on central on shared documents, never email documents but rather reference them in emails and other communications platforms",6
16,25,"In your organization, is there a policy on archiving electronic information from all data sources?",1,There is no policy in place for archiving electronic information. Data archiving practices are either ad hoc or not performed at all.,1,Basic policies exist but are informal or not clearly defined. Archiving practices are inconsistent and not standardized across the organization.,2,"The organization has developed a formal policy for archiving electronic information, but it is only partially implemented or covers only certain types of data sources.",3,A clearly defined archiving policy is in place that covers most data sources. The policy is communicated and has begun to be implemented across the organization.,4,The archiving policy is comprehensive and fully implemented. It includes all electronic data sources and is regularly reviewed and managed to ensure it meets organizational needs and compliance requirements.,5,"The organization's archiving policies are industry-leading, continuously evaluated, and updated with the latest technological advancements. Policies are proactive and integrated with broader data governance and IT strategies, ensuring optimal performance and strategic alignment.",6
16,25,"In your organization, is there a policy on the types of documents that can be scanned?",1,There is no policy in place regarding the types of documents that can be scanned. Document scanning is unregulated.,1,"Informal guidelines exist for scanning documents, but they are not widely communicated or enforced, leading to inconsistent practices.",2,A basic policy is in place that outlines some types of documents that can be scanned. The policy is somewhat limited in scope and detail.,3,There is a well-defined policy that clearly specifies which types of documents can be scanned. This policy includes detailed guidelines and is communicated across the organization.,4,"The policy is comprehensive and covers all necessary aspects of document scanning, including types, security measures, and compliance requirements. It is fully integrated into organizational processes.",5,"The scanning policy is not only comprehensive but also regularly reviewed and updated to reflect changes in technology, legal requirements, and business needs.",6
16,25,"In your organization, to what extent are the content management systems automated? (e.g. versioning, archiving, removal of documents)",1,There is no automation in the content management systems. All processes are manual.,1,"Minimal automation exists, perhaps in isolated aspects of content management, but the vast majority of processes remain manual.",2,"Some core processes within the content management systems are automated. However, significant manual intervention is still required for operations and maintenance.",3,"Most of the content management processes are automated. Automation is integrated into daily operations, reducing manual tasks substantially.",4,"Advanced automation is implemented, covering nearly all aspects of content management.",5,"The content management systems are fully automated with sophisticated algorithms managing all aspects, including data ingestion, organization, retrieval, and security.",6
16,25,How confident are you that your answers for this section are correct and offer a fair and balanced view?,1,I feel completely unsure and lack confidence in knowledge about data lifecycle management. I have minimal or no understanding of the topic.,1,Confidence is somewhat low; I have basic knowledge of some aspects of data lifecycle management but feel unsure about more detailed or complex issues.,2,I have a moderate level of confidence. I understand key concepts of data lifecycle management and can handle general questions but may struggle with specifics or advanced topics.,3,There is high confidence among individuals regarding their knowledge of data lifecycle management. I can competently answer most questions and discuss the subject with clarity.,4,I exhibit very high confidence and a thorough understanding of all aspects of data lifecycle management. I can answer complex questions and provide detailed insights effectively.,5,"At this level, I am an expert in data lifecycle management. I possess deep, comprehensive knowledge, and can handle any related questions, challenges, or discussions with expert authority and insight.",6
18,29,Does your organisation have reference data?,1,"No, I am not even sure what reference data is.",1,I use my own reference data that I source externally.,2,"We have some agreed external reference data sources that we all use, but it is ad hoc and accessed through the public domain.",3,"Yes, we have reference data that we source from both internal and external sources, but it is somewhat unmanaged.",4,"Yes, we have reference data that we source from both internal and external sources, and I know who to ask to get access or for it to be refreshed.",5,"Yes, we have reference data that we source from both internal and external sources, and it is clearly understood, accessible and automatically refreshed on a regular basis.",6
18,29,Does your organisation have master data,1,"No, I am not even sure what Master data is",1,I use my own reference for Master data that I source individually,2,"We have some agreed Master data sources that we all use, but it is ad hoc and very inconsistent",3,"Yes, we have Master data, but it often duplicated across systems and often inconsistent.",4,"Yes, we have Master data, we understand primacy and it is generally consistent, and I know who to ask to get access.",5,"Yes, we have Master data, we understand primacy and it is very consistent, it has a self-cleaning mechanism in place, and I know who to ask to get access.",6
18,29,"How effectively does your organization protect and secure its data against unauthorized access, breaches, and other security threats?",1,"There are no formal data security measures in place. Data security is not recognized as a priority, and there is a lack of awareness regarding potential threats and vulnerabilities.",1,"Basic security measures are sporadically implemented but without any coordinated strategy. There is limited awareness of security best practices, and efforts are reactive rather than proactive.",2,"The organization has recognized the need for data security and has started implementing policies and technologies to protect its data. However, these measures are not yet comprehensive or fully integrated.",3,"Formal security policies, processes and procedures are documented and implemented. The organization conducts regular security training for employees, and basic compliance requirements are met.",4,Data security practices are integrated into all aspects of IT and business operations. The organization uses advanced security technologies like encryption and intrusion detection systems.,5,"The organization is a leader in data security, employing cutting-edge technologies and methodologies. It not only meets but sets industry standards for data security. Security practices are proactive and predictive, with continuous monitoring and real-time defences against threats.",6
18,29,How confident are you that your answers for this section are correct and offer a fair and balanced view?,1,0% confident,1,20-30% confident,2,40-50% confident,3,60-70% confident,4,80-90% confident,5,100% confident,6
14,20,How effectively does your organization integrate and manage data across disparate systems to ensure interoperability and real-time data availability?,1,Non-Existent: There is no formal strategy or system in place for integrating data across systems. Data remains siloed within departments or individual systems.,1,"Initial: Data integration efforts are sporadic and primarily manual. Basic tools may be used, but there is no coordinated approach or interoperability between systems.",2,"Developing: The organization has begun to develop standardized processes for data integration, but these efforts are not yet fully systematic or consistent across all data sources.",3,"Defined: There are formal strategies and tools in place for data integration. Most systems can exchange data through defined interfaces or APIs, but real-time integration is limited.",4,Managed: Data integration is fully managed with sophisticated tools that ensure seamless interoperability.,5,"Innovation and Leading; The organization lead in data integration practices, employing cutting-edge technologies such as AI and machine learning to predict integration needs and automate processes.",6
14,20,"How effectively does your organization manage its documents and content across various platforms and systems to ensure accessibility, security, and compliance?",1,"There are no formal processes or systems in place for managing documents and content. Data is often lost or mismanaged, and there is no oversight or control over document accessibility or security.",1,"Some basic practices are in place, but they are inconsistent and not standardized. Document management is ad hoc, primarily manual, and lacks comprehensive security measures.",2,The organization has recognized the need for structured document and content management and has begun implementing policies and technologies to manage documents more effectively.,3,"Formal policies and procedures are established for document and content management. The organization uses standard tools and technologies to manage documents, although integration across different platforms may be limited.",4,"Document and content management is fully integrated into the business processes, with advanced technologies ensuring accessibility, security, and compliance.",5,"The organization is at the forefront of document and content management practices, utilizing cutting-edge technologies such as AI and machine learning to automate document processing, enhance searchability, and ensure compliance.",6
14,20,How does your organization manage and utilize reference and master data to ensure consistency and accuracy across business operations?,1,Non-Existent: No formal management of reference or master data exists. Data remains unstandardized and decentralized across the organization.,1,"Initial: Awareness of the importance of reference and master data is present, but management practices are informal and inconsistent, leading to frequent data quality issues.",2,"Developing: The organization has begun to implement policies for managing reference and master data, though these are not fully mature or consistently applied across all data sets.",3,"Defined: There are established and documented processes for managing reference and master data. Data stewards are designated, and some level of data standardization is enforced across departments.",4,"Managed & Optimized: Reference and master data are centrally managed. The organization uses advanced tools to maintain data accuracy and consistency. Data governance is integrated with overall IT governance, ensuring alignment with business goals.",5,"innovating & Leading: The organization sets industry standards for reference and master data management, leveraging technologies such as AI and blockchain to ensure data integrity and facilitate dynamic data updates.",6
14,20,How confident are you that your answers for this section are correct and offer a fair and balanced view?,1,0% confident,1,20-30% confident,2,40-50% confident,3,60-70% confident,4,80-90% confident,5,100% confident,6
22,33,"In your organization, is there a data dictionary for key organizational terms?",1,I don’t even know what a data dictionary is,1,we have discussed a data dictionary and have plans to implement one,2,We have started implementing a data dictionary and identifying how it can be used,3,We have a data dictionary with some definitions. It is well known but inconsistently used.,4,We have a well-defined data dictionary which is linked to all data classification standards and polices but could be used more effectively by the organization,5,We have a well-defined data dictionary which is linked to all data classification standards and polices and used to automate out data discovery and management,6
22,33,"In your organization, do business domains agree on the terms and definitions included in the data dictionary?",1,We have never talked about data definitions.,1,We have a general unwritten agreement of what data means to the organization.,2,"we have documented the terms and definitions of our data landscape, but it is not well socialized and agreed.",3,"We have some alignment between stakeholders on the terms and defections, but it is limited.",4,We have alignment between most stakeholders on the terms and defections of most data across the organization.,5,We have good alignment between all stakeholders on the terms and defections of all data across the organization.,6
22,33,"In your organization, do business domains agree on a common definition of the term “Metadata”?",1,I have no idea what Metadata is,1,Metadata has been well explained across the business and we have started planning on how to use it but nothing is documented yet,2,"Metadata is well defined and documented, much of the data has metadata attached but it is not implemented consistently across the business",3,"Metadata is well defined, it is well understood, it is implemented consistently but not really utilized effectively",4,"Metadata is well defined, it is well understood, it is effectively used for data classification, security, and a variety of automated processes, but could be used more for human centric tasks such as discovery.",5,"Metadata is well defined, it is well understood, it is effectively used for data classification, discovery, security, and a variety of automated processes.  We even have AI that uses metadata to make recommendations to us.",6
22,33,"In your organization, is a data warehouse or content management system is used to store technical metadata?",1,"We don’t have metadata, so no",1,We are starting to understand the need for system managed metadata and are looking at what this means to the business,2,We have a plan and are currently implemented meta data across our systems so that it is managed and governed,3,"Metadata is mostly managed with our systems, but it is limited to basic classification.",4,"Yes, metadata is completely managed with our systems",5,"Yes, metadata is completely managed with our systems, and we have automated AI processes that accurately update and predict metadata where gaps exist",6
