id,created,createdBy,updated,updatedBy,title,description,startDate,endDate,thumbnailImage,bannerImage,status,totalCategories,totalQuestions,totalUsers,isOpen,upload_file,Consultant,openUserRecommendation,closedUserRecommendation,surveyRecmOpen,categoryRecmOpen,questionRecmOpen
26,"2024-08-29T05:56:00.000Z",3930,"2024-08-29T05:56:00.000Z",3930,"sma csv try","sma csv try","2024-08-29T00:00:00.000Z","2024-09-01T00:00:00.000Z","","","Scheduled",0,0,0,1,"https://journey36-alumni.s3.eu-west-2.amazonaws.com/attachmentfiles/132358665817635870.csv","","","","","",""
27,"2024-08-29T06:21:41.000Z",3931,"2024-08-29T06:21:41.000Z",3931,"CSV upload check","CSV upload check","2024-08-29T00:00:00.000Z","2024-08-29T00:00:00.000Z","","","Scheduled",0,0,0,1,"https://journey36-alumni.s3.eu-west-2.amazonaws.com/attachmentfiles/107067879286328940.csv","","","","","",""
28,"2024-08-29T06:40:37.000Z",3931,"2024-08-29T06:40:37.000Z",3931,"D6 and D7","D6 and D7","2024-08-29T00:00:00.000Z","2024-08-29T00:00:00.000Z","","","Scheduled",0,0,0,1,"https://journey36-alumni.s3.eu-west-2.amazonaws.com/attachmentfiles/117155187461354420.csv","","","","","",""
29,"2024-08-29T06:56:20.000Z",3931,"2024-08-29T06:56:20.000Z",3931,"D7 and D8","D7 and D8","2024-08-29T00:00:00.000Z","2024-08-29T00:00:00.000Z","","","Scheduled",0,0,0,1,"https://journey36-alumni.s3.eu-west-2.amazonaws.com/attachmentfiles/21265857112753868.csv","","","","","",""
30,"2024-08-29T09:55:50.000Z",3931,"2024-08-29T09:55:50.000Z",3931,"D8 and D9","D8 and D9","2024-08-29T00:00:00.000Z","2024-08-29T00:00:00.000Z","","","Scheduled",0,0,0,0,"https://journey36-alumni.s3.eu-west-2.amazonaws.com/attachmentfiles/161263975084589860.csv","","","","","",""
31,"2024-08-29T09:59:32.000Z",3931,"2024-08-29T09:59:32.000Z",3931,"D9 and D10","D9 and D10","2024-08-29T00:00:00.000Z","2024-08-29T00:00:00.000Z","","","Scheduled",0,0,0,0,"https://journey36-alumni.s3.eu-west-2.amazonaws.com/attachmentfiles/3050316915208464.csv","","","","","",""
32,"2024-08-29T10:16:30.000Z",3931,"2024-08-29T10:16:30.000Z",3931,"D10 and D12","csdklnc","2024-08-29T00:00:00.000Z","2024-08-29T00:00:00.000Z","","","Scheduled",0,0,0,0,"https://journey36-alumni.s3.eu-west-2.amazonaws.com/attachmentfiles/3618464309950233.csv","","","","","",""
33,"2024-08-29T10:20:13.000Z",3931,"2024-08-29T10:20:13.000Z",3931,"Upload_bot_log","Upload_bot_log","2024-08-29T00:00:00.000Z","2024-08-29T00:00:00.000Z","","","Scheduled",0,0,0,0,"https://journey36-alumni.s3.eu-west-2.amazonaws.com/attachmentfiles/33581518201598572.csv","","","","","",""
34,"2024-08-29T10:32:28.000Z",3931,"2024-08-29T10:32:28.000Z",3931,"answer upload test","answer upload test","2024-08-29T00:00:00.000Z","2024-08-29T00:00:00.000Z","","","Scheduled",0,0,0,0,"https://journey36-alumni.s3.eu-west-2.amazonaws.com/attachmentfiles/130159807242917360.csv","","","","","",""
35,"2024-08-29T10:42:28.000Z",3931,"2024-08-29T10:42:28.000Z",3931,"ans","ans","2024-08-29T00:00:00.000Z","2024-08-29T00:00:00.000Z","","","Scheduled",0,0,0,0,"https://journey36-alumni.s3.eu-west-2.amazonaws.com/attachmentfiles/54097550033907224.csv","","","","","",""
36,"2024-08-29T10:47:08.000Z",3931,"2024-08-29T10:47:08.000Z",3931,"ques","ques","2024-08-29T00:00:00.000Z","2024-08-29T00:00:00.000Z","","","Scheduled",0,0,0,0,"https://journey36-alumni.s3.eu-west-2.amazonaws.com/attachmentfiles/154321193700145900.csv","","","","","",""
37,"2024-08-29T11:42:33.000Z",3888,"2024-08-29T11:42:33.000Z",3888,"test survey 2","test","2024-08-01T00:00:00.000Z","2024-08-31T00:00:00.000Z","","","In-Progress",0,0,0,1,"https://journey36-alumni.s3.eu-west-2.amazonaws.com/attachmentfiles/77113332596840500.csv","","","","","",""
38,"2024-08-29T11:49:59.000Z",3888,"2024-08-29T11:49:59.000Z",3888,"test survey 3","test","2024-07-31T00:00:00.000Z","2024-09-01T00:00:00.000Z","","","In-Progress",0,0,0,1,"https://journey36-alumni.s3.eu-west-2.amazonaws.com/attachmentfiles/94193005013953650.csv","","","","","",""
39,"2024-08-29T11:54:50.000Z",3888,"2024-08-29T11:54:50.000Z",3888,"test survey 4","tet","2024-08-02T00:00:00.000Z","2024-08-31T00:00:00.000Z","","","In-Progress",0,0,0,0,"https://journey36-alumni.s3.eu-west-2.amazonaws.com/attachmentfiles/168507746784953180.csv","","","","","",""
40,"2024-08-29T11:56:22.000Z",3888,"2024-08-29T11:56:22.000Z",3888,"test survey 6","test","2024-08-01T00:00:00.000Z","2024-08-31T00:00:00.000Z","","","In-Progress",0,0,0,1,"https://journey36-alumni.s3.eu-west-2.amazonaws.com/attachmentfiles/142189326920528590.csv","","","","","",""
41,"2024-08-29T12:00:04.000Z",3888,"2024-08-29T12:00:04.000Z",3888,"test survy 7","est","2024-07-31T00:00:00.000Z","2024-09-01T00:00:00.000Z","","","In-Progress",0,0,0,0,"https://journey36-alumni.s3.eu-west-2.amazonaws.com/attachmentfiles/141697397155975020.csv","","","","","",""
42,"2024-08-29T12:03:28.000Z",3888,"2024-08-29T12:03:28.000Z",3888,"test survey 9","","","","","","In-Progress",0,0,0,0,"https://journey36-alumni.s3.eu-west-2.amazonaws.com/attachmentfiles/44769315978425990.csv","","","","","",""
43,"2024-08-29T12:06:53.000Z",3888,"2024-08-29T12:06:53.000Z",3888,"test survey 10","","","","","","In-Progress",0,0,0,0,"https://journey36-alumni.s3.eu-west-2.amazonaws.com/attachmentfiles/92454867664531600.csv","","","","","",""
44,"2024-08-29T14:05:51.000Z",3888,"2024-08-29T14:05:51.000Z",3888,"test survey 12","","","","","","In-Progress",0,0,0,0,"https://journey36-alumni.s3.eu-west-2.amazonaws.com/attachmentfiles/22071419715939270.csv","","","","","",""
45,"2024-08-29T14:17:15.000Z",3888,"2024-08-29T14:17:15.000Z",3888,"test survey 13","","","","","","In-Progress",0,0,0,0,"https://journey36-alumni.s3.eu-west-2.amazonaws.com/attachmentfiles/143061039838545360.csv","","","","","",""
46,"2024-08-29T14:22:01.000Z",3888,"2024-08-29T14:22:01.000Z",3888,"test survey 14","","","","","","In-Progress",0,0,0,0,"https://journey36-alumni.s3.eu-west-2.amazonaws.com/attachmentfiles/92650862582277980.csv","","","","","",""
47,"2024-08-30T04:24:59.000Z",3931,"2024-08-30T04:24:59.000Z",3931,"D2 and D3","D2 and D3","2024-08-30T00:00:00.000Z","2024-08-30T00:00:00.000Z","","","Scheduled",0,0,0,0,"https://journey36-alumni.s3.eu-west-2.amazonaws.com/attachmentfiles/142566962342371650.csv","","","","","",""
48,"2024-08-30T04:30:24.000Z",3931,"2024-08-30T04:44:55.000Z",3931,"upload test on 30","upload test on 30","2024-08-30T00:00:00.000Z","2024-08-30T00:00:00.000Z","","","Scheduled",0,0,0,0,"https://journey36-alumni.s3.eu-west-2.amazonaws.com/attachmentfiles/76529782254191660.csv",0,0,1,"","",""
49,"2024-08-30T04:34:59.000Z",3930,"2024-08-30T04:34:59.000Z",3930,"newcsvuploadtry","newcsvuploadtry","2024-08-31T00:00:00.000Z","2024-09-01T00:00:00.000Z","","","In-Progress",0,0,0,1,"https://journey36-alumni.s3.eu-west-2.amazonaws.com/attachmentfiles/163708021650430530.csv","","","","","",""
50,"2024-08-30T05:52:34.000Z",3931,"2024-08-30T07:20:40.000Z",3931,"Device Usage","Device Usage","2024-08-30T00:00:00.000Z","2024-08-30T00:00:00.000Z","","","Scheduled",0,0,0,1,"https://journey36-alumni.s3.eu-west-2.amazonaws.com/attachmentfiles/8524681063585083.csv",7,1,1,1,0,0
51,"2024-08-30T12:20:14.000Z",3931,"2024-08-30T12:24:13.000Z",3931,"Hello There","Hello There","2024-08-30T00:00:00.000Z","2024-08-30T00:00:00.000Z","","","Scheduled",0,0,0,1,"https://journey36-alumni.s3.eu-west-2.amazonaws.com/attachmentfiles/100997734641590500.csv",0,1,0,1,1,""
52,"2024-09-02T10:04:45.000Z",3931,"2024-09-02T10:04:45.000Z",3931,"New Survey","New Survey","2024-09-02T00:00:00.000Z","2024-09-02T00:00:00.000Z","","","Scheduled",0,0,0,0,"","",0,0,"","",""
